brand,product,size,q1,q1_sales,q2,q2_sales,q3,q3_sales,q4,q4_sales
Stone & Wood,Pacific Ale Bottles 330mL,6,$24.49,20227,$24.49,17808,$24.49,17751,$24.49,20909
James Squire,One Fifty Lashes Pale Ale Bottles 345mL,6,$22.99,15033,$22.99,19184,$22.99,16439,$22.99,15938
Little Creatures,Pale Ale Bottles 330mL,6,$21.95,20048,$21.95,19546,$21.95,15449,$21.95,20113
Balter,XPA Cans 375mL,4,$18.99,19544,$18.99,15254,$18.99,15344,$18.99,21320
Mountain Goat,Very Enjoyable Beer Cans 375mL,6,$18.99,20563,$18.99,21811,$18.99,21542,$18.99,16373
Furphy,Refreshing Ale Bottles 375mL,6,$20.99,20854,$20.99,21386,$20.99,17486,$20.99,18147
Burleigh,Big Head No Carb Beer 330mL,6,$21.95,21124,$21.95,18062,$21.95,15142,$21.95,21977
Young Henrys,Newtowner Pale Ale Cans 375mL,6,$21.45,15735,$21.45,15013,$21.45,21322,$21.45,16030
Gage Roads,Single Fin Summer Ale Bottles 330mL,6,$19.95,18681,$19.95,15621,$19.95,18983,$19.95,18182
4 Pines,Pale Ale Bottles 330mL,6,$19.95,15663,$19.95,18746,$19.95,20090,$19.95,17918
Yak Brewing,Fat Yak Original Pale Ale Bottle 345mL,6,$18.99,16569,$18.99,17028,$18.99,21585,$18.99,18973
Balter,Captain Sensible Cans 375mL,4,$14.95,16647,$14.95,16243,$14.95,18594,$14.95,21309
Yak Brewing,Wild Yak Pacific Ale Bottle 6 x 345mL,6,$18.99,18985,$18.99,18976,$18.99,19633,$18.99,15318
Better Beer,Zero Carb Lager Bottle 330ml,6,$19.99,21693,$19.99,21978,$19.99,19491,$19.99,21633
BentSpoke Brewing Co.,Crankshaft IPA Cans 375mL,4,$20.99,16450,$20.99,20170,$20.99,16988,$20.99,16312
Stone & Wood,Pacific Ale Cans 375mL,4,$18.99,18488,$18.99,21235,$18.99,21659,$18.99,19354
Balter,Hazy IPA Cans 375mL,4,$21.49,18652,$21.49,15952,$21.49,16792,$21.49,15846
4 Pines,Pacific Ale Bottles 330mL,6,$18.99,15371,$18.99,21772,$18.99,16539,$18.99,19525
Pirate Life Brewing,South Coast Pale Ale Cans 355mL,4,$18.99,20967,$18.99,19549,$18.99,15593,$18.99,16752
Mountain Goat,Fancy Pants Amber Ale Cans 375mL,6,$23.39,15405,$23.39,15873,$23.39,16174,$23.39,21623
White Rabbit,Dark Ale 330mL,6,$26.49,15264,$26.49,17133,$26.49,20811,$26.49,15301
Coopers,XPA Cans 375mL,6,$23.99,21081,$23.99,18175,$23.99,16696,$23.99,15149
Coopers,Pacific Pale Ale 375mL,6,$21.49,21697,$21.49,21854,$21.49,18195,$21.49,20202
Kaiju,Krush Tropical Pale Ale Cans 375mL,6,$24.99,16438,$24.99,16746,$24.99,16061,$24.99,16735
James Squire,Broken Shackles Lager Bottles 345mL,6,$24.99,20529,$24.99,18873,$24.99,20992,$24.99,19675
Kosciuszko,Pale Ale 330mL,6,$23.99,16442,$23.99,15811,$23.99,21618,$23.99,21883
Mountain Goat,Summer Ale Cans 375mL,6,$19.99,17464,$19.99,15763,$19.99,21252,$19.99,16894
Young Henrys,Natural Lager Can 375mL,6,$21.49,16988,$21.49,18314,$21.49,20053,$21.49,15388
Balter,Eazy Hazy Can 375mL,4,$15.99,20591,$15.99,18219,$15.99,19157,$15.99,20136
