date,month,inflation_yoy_ma,inflation_yoy (food + home + oil + silver/gold),rentindex,rent,rent is based on https://www.apartmentguide.com/blog/apartment-guide-annual-rent-report/#national-trends applied to the rent index,minwage,us10y,mb,mb_per_capita,m1,m2,m3,us_population,us_gdp_per_capita,gdp,population,income,inflation,life,<-- Cost of Living US est.,nomadlist,remoteok,makebook,levelsio,coffee,copper,lumber,oil,gold,silver,home,food,bigmac,cpi,food_and_home,spx_live,spx,btc,eth,"_live vs non live is because sometimes GOOGLEFINANCE historical data goes #N/A and dies, so I cached it a bit_",nasdaq_live,nasdaq,tsla_live,tsla,dji,asia,china,singapore
1950-01-01,1950-01,,,#N/A,,,0.75,#N/A,#N/A,,,,,,,"319,945,000,000",,#N/A,,,,,,,,#N/A,#N/A,#N/A,2.57,35,0.74,,,,23.51,,,17.05,,,,,,,,201.79,,,
1950-02-01,1950-02,,,#N/A,,,0.75,#N/A,#N/A,,,,,,,"319,945,000,000",,#N/A,,,,,,,,#N/A,#N/A,#N/A,2.57,35,0.74,,,,23.61,,,17.22,,,,,,,,203.44,,,
1950-03-01,1950-03,,,#N/A,,,0.75,#N/A,#N/A,,,,,,,"319,945,000,000",,#N/A,,,,,,,,#N/A,#N/A,#N/A,2.57,35,0.74,,,,23.64,,,17.29,,,,,,,,206.05,,,
1950-04-01,1950-04,,,#N/A,,,0.75,#N/A,#N/A,,,,,,,"319,945,000,000",,#N/A,,,,,,,,#N/A,#N/A,#N/A,2.57,35,0.74,,,,23.65,,,18.07,#N/A,,,,,,,214.33,,,
1950-05-01,1950-05,,,#N/A,,,0.75,#N/A,#N/A,,,,,,,"319,945,000,000",,#N/A,,,,,,,,#N/A,#N/A,#N/A,2.57,35,0.74,,,,23.77,,,18.78,#N/A,,,,,,,223.42,,,
1950-06-01,1950-06,,,#N/A,,,0.75,#N/A,#N/A,,,,,,,"319,945,000,000",,#N/A,,,,,,,,#N/A,#N/A,#N/A,2.57,35,0.74,,,,23.88,,,17.69,#N/A,,,,,,,209.11,,,
1950-07-01,1950-07,,,#N/A,,,0.75,#N/A,#N/A,,,,,,,"319,945,000,000",,#N/A,,,,,,,,#N/A,#N/A,#N/A,2.57,35,0.74,,,,24.07,,,17.84,#N/A,,,,,,,209.4,,,
1950-08-01,1950-08,,,#N/A,,,0.75,#N/A,#N/A,,,,,,,"319,945,000,000",,#N/A,,,,,,,,#N/A,#N/A,#N/A,2.57,35,0.74,,,,24.2,,,18.42,#N/A,,,,,,,216.87,,,
1950-09-01,1950-09,,,#N/A,,,0.75,#N/A,#N/A,,,,,,,"319,945,000,000",,#N/A,,,,,,,,#N/A,#N/A,#N/A,2.57,35,0.74,,,,24.34,,,19.45,#N/A,,,,,,,226.36,,,
1950-10-01,1950-10,,,#N/A,,,0.75,#N/A,#N/A,,,,,,,"319,945,000,000",,#N/A,,,,,,,,#N/A,#N/A,#N/A,2.57,35,0.74,,,,24.5,,,19.53,#N/A,,,,,,,225.01,,,
1950-11-01,1950-11,,,#N/A,,,0.75,#N/A,#N/A,,,,,,,"319,945,000,000",,#N/A,,,,,,,,#N/A,#N/A,#N/A,2.57,35,0.74,,,,24.6,,,19.51,#N/A,,,,,,,227.6,,,
1950-12-01,1950-12,,,#N/A,,,0.75,#N/A,#N/A,,,,,,,"319,945,000,000",,#N/A,,,,,,,,#N/A,#N/A,#N/A,2.57,35,0.74,,,,24.98,,,20.41,#N/A,,,,,,,235.41,,,
1951-01-01,1951-01,,,#N/A,,,0.75,#N/A,#N/A,,,,,,,"356,178,000,000",,#N/A,,,,,,,,#N/A,#N/A,#N/A,2.57,35,0.89,,,,25.38,,,21.66,#N/A,,,,,,,248.83,,,
1951-02-01,1951-02,,,#N/A,,,0.75,#N/A,#N/A,,,,,,,"356,178,000,000",,#N/A,,,,,,,,#N/A,#N/A,#N/A,2.57,35,0.89,,,,25.83,,,21.8,#N/A,,,,,,,252.05,,,
1951-03-01,1951-03,,,#N/A,,,0.75,#N/A,#N/A,,,,,,,"356,178,000,000",,#N/A,,,,,,,,#N/A,#N/A,#N/A,2.57,35,0.89,,,,25.88,,,21.4,#N/A,,,,,,,247.94,,,
1951-04-01,1951-04,,,#N/A,,,0.75,#N/A,#N/A,,,,,,,"356,178,000,000",,#N/A,,,,,,,,#N/A,#N/A,#N/A,2.57,35,0.89,,,,25.92,,,22.43,#N/A,,,,,,,259.13,,,
1951-05-01,1951-05,,,#N/A,,,0.75,#N/A,#N/A,,,,,,,"356,178,000,000",,#N/A,,,,,,,,#N/A,#N/A,#N/A,2.57,35,0.89,,,,25.99,,,21.52,#N/A,,,,,,,249.65,,,
1951-06-01,1951-06,,,#N/A,,,0.75,#N/A,#N/A,,,,,,,"356,178,000,000",,#N/A,,,,,,,,#N/A,#N/A,#N/A,2.57,35,0.89,,,,25.93,,,20.96,#N/A,,,,,,,242.64,,,
